task,method,aucc
L2_MLP_PD1/cifar10_wresnet/pd1,SACMA-MAB,0.9999556557142558
L2_MLP_PD1/cifar10_wresnet/pd1,SMAC,0.9999610753936052
L2_MLP_PD1/cifar10_wresnet/pd1,Sigma-CMA,0.9999395011158634
L2_MLP_PD1/cifar10_wresnet/pd1,TPE,0.9999384083942793
L2_MLP_PD1/cifar10_wresnet/pd1,WL-CMA,0.99996594123342
L2_MLP_PD1/fashion_cnn/pd1,CMA-ES,0.9978394329730031
L2_MLP_PD1/fashion_cnn/pd1,DEHB,0.9963512997242249
L2_MLP_PD1/fashion_cnn/pd1,GP-BO,0.9964007272636707
L2_MLP_PD1/fashion_cnn/pd1,L-SHADE,0.9961041687065469
L2_MLP_PD1/fashion_cnn/pd1,Random,0.9967287173069458
L2_MLP_PD1/fashion_cnn/pd1,SACMA-DAC,0.9963115189943909
L2_MLP_PD1/fashion_cnn/pd1,SACMA-MAB,0.9964474420909095
L2_MLP_PD1/fashion_cnn/pd1,SMAC,0.9956615685668766
L2_MLP_PD1/fashion_cnn/pd1,Sigma-CMA,0.9970896630775048
L2_MLP_PD1/fashion_cnn/pd1,TPE,0.9954835763815527
L2_MLP_PD1/fashion_cnn/pd1,WL-CMA,0.9945107359701721
L2_MLP_PD1/imagenet_resnet/pd1,CMA-ES,0.9800921500193465
L2_MLP_PD1/imagenet_resnet/pd1,DEHB,0.987467278685741
L2_MLP_PD1/imagenet_resnet/pd1,GP-BO,0.9897617131995016
L2_MLP_PD1/imagenet_resnet/pd1,L-SHADE,0.9863895530864637
L2_MLP_PD1/imagenet_resnet/pd1,Random,0.9925699882765481
L2_MLP_PD1/imagenet_resnet/pd1,SACMA-DAC,0.9890199045768397
L2_MLP_PD1/imagenet_resnet/pd1,SACMA-MAB,0.9900758122624653
L2_MLP_PD1/imagenet_resnet/pd1,SMAC,0.989070762668075
L2_MLP_PD1/imagenet_resnet/pd1,Sigma-CMA,0.9919009474125657
L2_MLP_PD1/imagenet_resnet/pd1,TPE,0.9865919059434514
L2_MLP_PD1/imagenet_resnet/pd1,WL-CMA,0.9908906753036432
L2_MLP_PD1/lm1b_transformer/pd1,CMA-ES,0.9366955422190902
L2_MLP_PD1/lm1b_transformer/pd1,DEHB,0.9577888459596174
L2_MLP_PD1/lm1b_transformer/pd1,GP-BO,0.9614482368326142
L2_MLP_PD1/lm1b_transformer/pd1,L-SHADE,0.9638370411584416
L2_MLP_PD1/lm1b_transformer/pd1,Random,0.9354924265336162
L2_MLP_PD1/lm1b_transformer/pd1,SACMA-DAC,0.954893728670646
L2_MLP_PD1/lm1b_transformer/pd1,SACMA-MAB,0.9496799350439915
L2_MLP_PD1/lm1b_transformer/pd1,SMAC,0.9546461323064905
L2_MLP_PD1/lm1b_transformer/pd1,Sigma-CMA,0.9421079546051878
L2_MLP_PD1/lm1b_transformer/pd1,TPE,0.9236003385324232
L2_MLP_PD1/lm1b_transformer/pd1,WL-CMA,0.9632861053634394
L2_MLP_PD1/mnist_cnn/pd1,CMA-ES,0.9972477052512957
L2_MLP_PD1/mnist_cnn/pd1,DEHB,0.9960403384937253
L2_MLP_PD1/mnist_cnn/pd1,GP-BO,0.9915288329357734
L2_MLP_PD1/mnist_cnn/pd1,L-SHADE,0.9910035429143915
L2_MLP_PD1/mnist_cnn/pd1,Random,0.9950061007751814
L2_MLP_PD1/mnist_cnn/pd1,SACMA-DAC,0.9908124566327401
L2_MLP_PD1/mnist_cnn/pd1,SACMA-MAB,0.9912451870001627
L2_MLP_PD1/mnist_cnn/pd1,SMAC,0.9915307782373721
L2_MLP_PD1/mnist_cnn/pd1,Sigma-CMA,0.9947896869353832
L2_MLP_PD1/mnist_cnn/pd1,TPE,0.9934834305567561
L2_MLP_PD1/mnist_cnn/pd1,WL-CMA,0.9878407762738206
L2_MLP_PD1/svhn_wresnet/pd1,CMA-ES,0.9991166467339776
L2_MLP_PD1/svhn_wresnet/pd1,DEHB,0.9993621232739383
L2_MLP_PD1/svhn_wresnet/pd1,GP-BO,0.9991347281619745
L2_MLP_PD1/svhn_wresnet/pd1,L-SHADE,0.9992430432967792
L2_MLP_PD1/svhn_wresnet/pd1,Random,0.9992406359675081
L2_MLP_PD1/svhn_wresnet/pd1,SACMA-DAC,0.9993250076538209
L2_MLP_PD1/svhn_wresnet/pd1,SACMA-MAB,0.9990827736104932
L2_MLP_PD1/svhn_wresnet/pd1,SMAC,0.9991738941449313
L2_MLP_PD1/svhn_wresnet/pd1,Sigma-CMA,0.9993064413677376
L2_MLP_PD1/svhn_wresnet/pd1,TPE,0.999226829960423
L2_MLP_PD1/svhn_wresnet/pd1,WL-CMA,0.9994831682490071
L2_MLP_PD1/translate_transformer/pd1,CMA-ES,0.9567090497239846
L2_MLP_PD1/translate_transformer/pd1,DEHB,0.9837792045098139
L2_MLP_PD1/translate_transformer/pd1,GP-BO,0.9844921460516649
L2_MLP_PD1/translate_transformer/pd1,L-SHADE,0.9825717990869262
L2_MLP_PD1/translate_transformer/pd1,Random,0.9727957119296105
L2_MLP_PD1/translate_transformer/pd1,SACMA-DAC,0.983008751390096
L2_MLP_PD1/translate_transformer/pd1,SACMA-MAB,0.9817253249986959
L2_MLP_PD1/translate_transformer/pd1,SMAC,0.9812795835767062
L2_MLP_PD1/translate_transformer/pd1,Sigma-CMA,0.9780144586306528
L2_MLP_PD1/translate_transformer/pd1,TPE,0.9712945101631196
L2_MLP_PD1/translate_transformer/pd1,WL-CMA,0.9880717851380298
L2_MLP_PD1/uniref50_transformer/pd1,CMA-ES,0.9700310514918087
L2_MLP_PD1/uniref50_transformer/pd1,DEHB,0.9720952336652409
L2_MLP_PD1/uniref50_transformer/pd1,GP-BO,0.9703929813831579
L2_MLP_PD1/uniref50_transformer/pd1,L-SHADE,0.9775679756773547
L2_MLP_PD1/uniref50_transformer/pd1,Random,0.9691841324902768
L2_MLP_PD1/uniref50_transformer/pd1,SACMA-DAC,0.9784178633502532
L2_MLP_PD1/uniref50_transformer/pd1,SACMA-MAB,0.9784812752085243
L2_MLP_PD1/uniref50_transformer/pd1,SMAC,0.9708850772168272
L2_MLP_PD1/uniref50_transformer/pd1,Sigma-CMA,0.9717990215748926
L2_MLP_PD1/uniref50_transformer/pd1,TPE,0.97844168894389
L2_MLP_PD1/uniref50_transformer/pd1,WL-CMA,0.9808762967012297
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,CMA-ES,0.9796433232220088
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,DEHB,0.9804801795921521
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,GP-BO,0.9821932822818236
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,L-SHADE,0.9787090235120939
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,Random,0.980211862837397
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,SACMA-DAC,0.98448649476368
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,SACMA-MAB,0.9790414322066707
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,SMAC,0.9824510496533924
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,Sigma-CMA,0.9828497102102867
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,TPE,0.9859513645030762
L3_NAS_SUPER/yahpo__iaml_super__40981/yahpo,WL-CMA,0.9835988726093521
L3_NAS_SUPER/yahpo__nb301__None/yahpo,CMA-ES,0.923619313448625
L3_NAS_SUPER/yahpo__nb301__None/yahpo,DEHB,0.8206174220110183
L3_NAS_SUPER/yahpo__nb301__None/yahpo,GP-BO,0.804936963930865
L3_NAS_SUPER/yahpo__nb301__None/yahpo,L-SHADE,0.8102070763177034
L3_NAS_SUPER/yahpo__nb301__None/yahpo,Random,0.7997043192930477
L3_NAS_SUPER/yahpo__nb301__None/yahpo,SACMA-DAC,0.81325215138721
L3_NAS_SUPER/yahpo__nb301__None/yahpo,SACMA-MAB,0.7607780492594252
L3_NAS_SUPER/yahpo__nb301__None/yahpo,SMAC,0.8329090179128671
L3_NAS_SUPER/yahpo__nb301__None/yahpo,Sigma-CMA,0.8094683463157726
L3_NAS_SUPER/yahpo__nb301__None/yahpo,TPE,0.8320356228042414
L3_NAS_SUPER/yahpo__nb301__None/yahpo,WL-CMA,0.8315719115498581
L4/dense__digits/l4,CMA-ES,0.9217408906882592
L4/dense__digits/l4,DEHB,0.8450202429149799
L4/dense__digits/l4,GP-BO,0.9187854251012146
L4/dense__digits/l4,L-SHADE,0.9192712550607288
L4/dense__digits/l4,Random,0.8369635627530365
L4/dense__digits/l4,SACMA-DAC,0.9263967611336033
L4/dense__digits/l4,SACMA-MAB,0.9176923076923078
L4/dense__digits/l4,SMAC,0.9146153846153847
L4/dense__digits/l4,Sigma-CMA,0.9245748987854253
L4/dense__digits/l4,TPE,0.8940890688259111
L4/dense__digits/l4,WL-CMA,0.8965587044534413
L4/residual__fashion_mini/l4,CMA-ES,0.9312393887945669
L4/residual__fashion_mini/l4,DEHB,0.9320436064694844
L4/residual__fashion_mini/l4,GP-BO,0.9291394870878383
L4/residual__fashion_mini/l4,L-SHADE,0.9450451255473147
L4/residual__fashion_mini/l4,Random,0.9173889732821016
